WARDNAME,Ward Code,Usually Resident Population,Usually Resident Population (%)
Spelga,95VV26,"3,583",0.2
St Mary's,95VV27,"2,284",0.13
St Patrick's,95VV28,"3,530",0.19
Tullyhappy,95VV29,"3,366",0.19
Windsor Hill,95VV30,"3,003",0.17
Abbey,95WW01,"2,814",0.16
Ballyclare North,95WW02,"3,851",0.21
Ballyclare South,95WW03,"3,638",0.2
Ballyduff,95WW04,"2,866",0.16
Ballyhenry,95WW05,"2,772",0.15
Ballynure,95WW06,"3,147",0.17
Ballyrobert,95WW07,"4,255",0.23
Burnthill,95WW08,"2,559",0.14
Carnmoney,95WW09,"2,534",0.14
Cloughfern,95WW10,"2,946",0.16
Collinbridge,95WW11,"3,078",0.17
Coole,95WW12,"2,409",0.13
Doagh,95WW13,"3,674",0.2
Dunanney,95WW14,"2,262",0.12
Glebe (Newtownabbey LGD),95WW15,"3,316",0.18
Glengormley,95WW16,"2,965",0.16
Hawthorne,95WW17,"2,266",0.13
Hightown,95WW18,"2,237",0.12
Jordanstown,95WW19,"6,225",0.34
Mallusk,95WW20,"8,338",0.46
Monkstown,95WW21,"3,543",0.2
Mossley,95WW22,"2,985",0.16
Rostulla,95WW23,"4,894",0.27
Valley (Newtownabbey LGD),95WW24,"3,494",0.19
Whitehouse,95WW25,"2,071",0.11
Ballycrochan,95XX01,"5,294",0.29
Ballyholme,95XX02,"2,652",0.15
Ballymaconnell,95XX03,"2,721",0.15
Ballymagee,95XX04,"3,682",0.2
Bangor Castle,95XX05,"2,627",0.15
Bloomfield (North Down LGD),95XX06,"3,778",0.21
Broadway,95XX07,"2,845",0.16
Bryansburn,95XX08,"2,590",0.14
Churchill,95XX09,"2,817",0.16
Clandeboye,95XX10,"4,894",0.27
Conlig,95XX11,"6,263",0.35
Craigavad,95XX12,"2,540",0.14
Crawfordsburn,95XX13,"2,770",0.15
Cultra,95XX14,"2,477",0.14
Dufferin,95XX15,"2,449",0.14
Groomsport,95XX16,"3,005",0.17
Harbour (North Down LGD),95XX17,"3,022",0.17
Holywood Demesne,95XX18,"3,012",0.17
Holywood Priory,95XX19,"2,675",0.15
Loughview,95XX20,"3,434",0.19
Princetown,95XX21,"2,846",0.16
Rathgael,95XX22,"2,215",0.12
Silverstream,95XX23,"3,155",0.17
Spring Hill,95XX24,"2,705",0.15
Whitehill,95XX25,"2,469",0.14
Beragh,95YY01,"2,508",0.14
Camowen,95YY02,"2,283",0.13
Clanabogan,95YY03,"3,177",0.18
Coolnagard,95YY04,"3,489",0.19
Dergmoney,95YY05,"1,675",0.09
Dromore,95YY06,"2,394",0.13
Drumnakilly,95YY07,"2,916",0.16
Drumquin,95YY08,"2,231",0.12
Drumragh,95YY09,"2,315",0.13
Fairy Water,95YY10,"2,142",0.12
Fintona,95YY11,"2,046",0.11
Gortin,95YY12,"2,836",0.16
Gortrush,95YY13,"2,833",0.16
Killyclogher,95YY14,"3,096",0.17
Lisanelly,95YY15,"2,033",0.11
Newtownsaville,95YY16,"2,392",0.13
Owenkillew,95YY17,"2,350",0.13
Sixmilecross,95YY18,"2,374",0.13
Strule,95YY19,"1,496",0.08
Termon,95YY20,"2,330",0.13
Trillick,95YY21,"2,440",0.13
Artigarvan,95ZZ01,"2,760",0.15
Ballycolman,95ZZ02,"1,827",0.1
Castlederg,95ZZ03,"2,109",0.12
Clare,95ZZ04,"2,670",0.15
Dunnamanagh,95ZZ05,"2,187",0.12
East,95ZZ06,"1,714",0.09
Finn,95ZZ07,"2,807",0.16
Glenderg,95ZZ08,"2,593",0.14
Newtownstewart,95ZZ09,"2,269",0.13
North,95ZZ10,"3,179",0.18
Plumbridge,95ZZ11,"2,223",0.12
Sion Mills,95ZZ12,"2,190",0.12
Slievekirk,95ZZ13,"2,533",0.14
South,95ZZ14,"3,232",0.18
Victoria Bridge,95ZZ15,"2,288",0.13
West,95ZZ16,"3,262",0.18
